MoS2 F1,,MoS2 F2,,MoS2 F3,,MoS2 F4,,MoS2 F5,,MoS2 F6,,MoS2 F7,
Wavelength (nm),Ext,Wavelength (nm),Ext,Wavelength (nm),Ext,Wavelength (nm),Ext,Wavelength (nm),Ext,Wavelength (nm),Ext,Wavelength (nm),Ext
604,19.40001,604,22.29593,604,33.49345,604,41.07013,604,48.89064,604,47.98199,604,47.68908
603,19.35681,603,22.22498,603,33.35284,603,40.77507,603,48.58305,603,47.63235,603,47.33194
602,19.32858,602,22.16684,602,33.13734,602,40.53493,602,48.23217,602,47.30291,602,47.08032
601,19.22157,601,22.04193,601,32.95089,601,40.28181,601,47.92907,601,47.07476,601,46.79352
600,19.20184,600,21.96378,600,32.80857,600,40.06719,600,47.65166,600,46.84619,600,46.57542
599,19.01836,599,21.78836,599,32.53248,599,39.73362,599,47.30752,599,46.58054,599,46.31855
598,18.93584,598,21.65768,598,32.34215,598,39.48572,598,47.0613,598,46.37634,598,46.1171
597,18.80046,597,21.50643,597,32.16845,597,39.21394,597,46.77478,597,46.16711,597,45.96954
596,18.64334,596,21.38281,596,31.92638,596,39.00127,596,46.54141,596,46.01035,596,45.8483
595,18.48563,595,21.19889,595,31.63506,595,38.70262,595,46.34083,595,45.8803,595,45.70989
594,18.34867,594,20.99871,594,31.43013,594,38.48039,594,46.14238,594,45.78391,594,45.65704
593,18.25434,593,20.88315,593,31.26373,593,38.31861,593,46.06455,593,45.77996,593,45.63699
592,18.16721,592,20.80026,592,31.0821,592,38.15653,592,46.00655,592,45.72568,592,45.67832
591,18.04162,591,20.67952,591,30.93357,591,38.01131,591,45.93882,591,45.74213,591,45.71853
590,17.86765,590,20.4825,590,30.758,590,37.86744,590,45.90901,590,45.75464,590,45.77067
589,17.75517,589,20.42494,589,30.63153,589,37.7558,589,45.94693,589,45.81747,589,45.84018
588,17.67826,588,20.3042,588,30.53504,588,37.78177,588,45.97561,588,45.96044,588,45.93962
587,17.57773,587,20.20303,587,30.48921,587,37.70759,587,46.06655,587,46.07425,587,46.09098
586,17.50112,586,20.16489,586,30.44555,586,37.71416,586,46.17494,586,46.25046,586,46.28605
585,17.35681,585,20.00659,585,30.31846,585,37.657,585,46.25839,585,46.3757,585,46.43475
584,17.37495,584,20.04113,584,30.36305,584,37.75655,584,46.44973,584,46.55917,584,46.67043
583,17.23223,583,19.91074,583,30.38123,583,37.76983,583,46.63171,583,46.75515,583,46.81275
582,17.22129,582,19.92686,582,30.37905,582,37.83012,582,46.77927,582,46.95134,582,46.99661
581,17.204,581,19.92715,581,30.38915,581,38.01086,581,47.03635,581,47.15929,581,47.2178
580,17.09066,580,19.78252,580,30.35171,580,38.03012,580,47.15622,580,47.33838,580,47.37986
579,17.06848,579,19.81216,579,30.41448,579,38.2216,579,47.41142,579,47.58095,579,47.65442
578,17.08562,578,19.80238,578,30.50055,578,38.34786,578,47.67025,578,47.84254,578,47.8499
577,16.98754,577,19.74424,577,30.53458,577,38.42458,577,47.87568,577,47.98317,577,48.07068
576,16.98941,576,19.79734,576,30.63526,576,38.63352,576,48.07626,576,48.31956,576,48.27285
575,17.04285,575,19.79201,575,30.72553,575,38.81232,575,48.41179,575,48.49331,575,48.51851
574,16.96868,574,19.80554,574,30.85884,574,38.91515,574,48.65901,574,48.76623,574,48.74144
573,17.01131,573,19.83634,573,30.98251,573,39.13947,573,48.96399,573,49.02632,573,49.00675
572,17.00828,572,19.8726,572,31.12343,572,39.31319,572,49.26509,572,49.26408,572,49.22084
571,17.0175,571,19.89664,571,31.24073,571,39.56766,571,49.57094,571,49.50002,571,49.48327
570,17.05898,570,19.94053,570,31.32463,570,39.78138,570,49.86993,570,49.76984,570,49.71782
569,17.05782,569,20.01637,569,31.51714,569,40.04913,569,50.18613,569,50.00151,569,49.92667
568,17.01476,568,19.96672,568,31.62139,568,40.25315,568,50.44819,568,50.24109,568,50.14663
567,17.0571,567,20.07451,567,31.80939,567,40.49702,567,50.79034,567,50.47917,567,50.39866
566,17.0499,566,20.06127,566,31.94969,566,40.73283,566,51.0983,566,50.77602,566,50.59373
565,17.11255,565,20.12963,565,32.12852,565,41.07312,565,51.41837,565,51.03323,565,50.86953
564,17.1065,564,20.16748,564,32.30471,564,41.21072,564,51.74941,564,51.251,564,51.05904
563,17.19162,563,20.26807,563,32.52767,563,41.55414,563,52.11439,563,51.54593,563,51.29566
562,17.21236,562,20.31715,562,32.69174,562,41.77547,562,52.3878,562,51.78925,562,51.54327
561,17.21639,561,20.37658,561,32.92324,561,42.06516,561,52.7514,561,52.04283,561,51.75829
560,17.33103,560,20.44883,560,33.08715,560,42.39783,560,53.15367,560,52.33882,560,52.03964
559,17.37524,559,20.51301,559,33.27966,559,42.67081,559,53.45453,559,52.59988,559,52.19728
558,17.40952,558,20.68959,558,33.52576,558,42.98527,558,53.8175,558,52.87493,558,52.45939
557,17.47735,557,20.75349,557,33.76985,557,43.30257,557,54.19357,557,53.12626,557,52.71215
556,17.52992,556,20.80227,556,33.95148,556,43.64658,556,54.56054,556,53.37685,556,52.91473
555,17.53914,555,20.9269,555,34.26532,555,43.95344,555,54.98451,555,53.68674,555,53.15237
554,17.64859,554,21.03656,554,34.50413,554,44.35551,554,55.38266,554,53.95516,554,53.46209
553,17.73457,553,21.12938,553,34.73206,553,44.69236,553,55.79416,553,54.23374,553,53.68812
552,17.81148,552,21.25531,552,34.95626,552,45.03473,552,56.13817,552,54.4902,552,53.86745
551,17.87427,551,21.38555,551,35.21401,551,45.36696,551,56.54006,551,54.75072,551,54.12494
550,17.95996,550,21.52126,550,35.48902,550,45.72798,550,56.98212,550,54.99767,550,54.3558
549,17.97681,549,21.60386,549,35.73513,549,46.11573,549,57.31005,549,55.29773,549,54.55755
548,18.07057,548,21.72316,548,36.0771,548,46.53019,548,57.73115,548,55.58753,548,54.79427
547,18.20854,547,21.86621,547,36.38224,547,46.99509,547,58.19391,547,55.87381,547,55.02605
546,18.27508,546,22.00235,546,36.69625,546,47.38523,546,58.59081,546,56.16307,546,55.22801
545,18.37128,545,22.09316,545,36.90693,545,47.73267,545,59.04908,545,56.38256,545,55.47017
544,18.47886,544,22.27247,544,37.30001,544,48.17997,544,59.4965,544,56.68582,544,55.66863
543,18.58472,543,22.4266,543,37.65037,543,48.70427,543,59.92621,543,56.9909,543,55.93939
542,18.64218,542,22.5236,542,37.9114,542,49.01829,542,60.3755,542,57.18261,542,56.13456
541,18.79758,541,22.75832,541,38.29889,541,49.55886,541,60.84425,541,57.53428,541,56.37457
540,18.90084,540,22.87719,540,38.66836,540,49.97377,540,61.28918,540,57.77877,540,56.5537
539,19.08807,539,23.06269,539,39.03317,539,50.52777,539,61.75917,539,58.05735,539,56.7717
538,19.17621,538,23.18502,538,39.39409,538,50.95477,538,62.20148,538,58.32386,538,56.99505
537,19.24865,537,23.34562,537,39.73497,537,51.40341,537,62.62208,537,58.55114,537,57.16616
536,19.4448,536,23.60481,536,40.17995,536,52.00935,536,63.12177,536,58.85462,536,57.41131
535,19.56016,535,23.78642,535,40.58827,535,52.50903,535,63.60037,535,59.1628,535,57.57635
534,19.67495,534,23.94904,534,40.94531,534,53.01154,534,64.09506,534,59.3591,534,57.77584
533,19.81882,533,24.12879,533,41.38299,533,53.526,533,64.58577,533,59.64602,533,57.96855
532,19.9676,532,24.34854,532,41.80948,532,54.06717,532,64.99202,532,59.88858,532,58.18079
531,20.16562,531,24.60629,531,42.30744,531,54.68998,531,65.55669,531,60.12998,531,58.3521
